IP,SLOT,PORT,VLAN,ID_PORT,GPON,VENDOR
172.24.155.4,5,2,"3812, 925",714828456-2242407726,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,3,"3812, 925",714828456-2242765699,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,4,"3812, 925",714828456-2242407727,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,5,"3812, 925",714828456-2242765700,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,6,"3812, 925",714828456-2242407728,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,7,"3812, 925",714828456-2242765701,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,8,"3812, 925",714828456-2242407729,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,9,"3812, 925",714828456-2242765702,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,10,"3812, 925",714828456-2242407730,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,11,"3812, 925",714828456-2242765703,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,12,"3812, 925",714828456-2242407731,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,13,"3812, 925",714828456-2242765704,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,14,"3812, 925",714828456-2242407732,GPON02-D2-DEP-2,HUAWEI
172.24.155.4,5,15,"3812, 925",714828456-2242765705,GPON02-D2-DEP-2,HUAWEI
172.24.155.5,1,0,3822. 1037,12090149-75278028,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,1,3822. 1037,12090149-75278030,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,2,3822. 1037,12090149-75278032,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,3,3822. 1037,12090149-75278033,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,4,3822. 1037,12090149-75278035,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,5,3822. 1037,12090149-75278037,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,6,3822. 1037,12090149-75278040,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,7,3822. 1037,12090149-75278042,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,8,3822. 1037,12090149-75278043,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,9,3822. 1037,12090149-75278044,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,10,3822. 1037,12090149-75278045,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,11,3822. 1037,12090149-75278046,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,12,3822. 1037,12090149-75278047,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,13,3822. 1037,12090149-75278048,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,14,3822. 1037,12090149-75278049,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,1,15,3822. 1037,12090149-75278050,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,0,3822. 1037,12090150-75278051,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,1,3822. 1037,12090150-75278052,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,2,3822. 1037,12090150-75278053,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,3,3822. 1037,12090150-75278054,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,4,3822. 1037,12090150-75278055,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,5,3822. 1037,12090150-75278056,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,6,3822. 1037,12090150-75278057,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,7,3822. 1037,12090150-75278058,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,8,3822. 1037,12090150-75278059,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,9,3822. 1037,12090150-75278060,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,10,3822. 1037,12090150-75278061,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,11,3822. 1037,12090150-75278062,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,12,3822. 1037,12090150-75278063,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,13,3822. 1037,12090150-75278064,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,14,3822. 1037,12090150-75278065,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,2,15,3822. 1037,12090150-75278066,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,0,3822. 1037,12090151-75278067,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,1,3822. 1037,12090151-75278068,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,2,3822. 1037,12090151-75278069,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,3,3822. 1037,12090151-75278070,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,4,3822. 1037,12090151-75278071,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,5,3822. 1037,12090151-75278072,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,6,3822. 1037,12090151-75278073,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,7,3822. 1037,12090151-75278074,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,8,3822. 1037,12090151-75278075,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,9,3822. 1037,12090151-75278076,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,10,3822. 1037,12090151-75278077,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,11,3822. 1037,12090151-75278078,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,12,3822. 1037,12090151-75278079,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,13,3822. 1037,12090151-75278080,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,14,3822. 1037,12090151-75278081,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,3,15,3822. 1037,12090151-75278082,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,0,3822. 1037,12090153-75278083,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,1,3822. 1037,12090153-75278084,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,2,3822. 1037,12090153-75278085,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,3,3822. 1037,12090153-75278086,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,4,3822. 1037,12090153-75278087,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,5,3822. 1037,12090153-75278088,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,6,3822. 1037,12090153-75278089,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,7,3822. 1037,12090153-75278090,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,8,3822. 1037,12090153-75278091,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,9,3822. 1037,12090153-75278092,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,10,3822. 1037,12090153-75278093,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,11,3822. 1037,12090153-75278094,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,12,3822. 1037,12090153-75278095,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,13,3822. 1037,12090153-75278096,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,14,3822. 1037,12090153-75278097,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,4,15,3822. 1037,12090153-75278098,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,0,3822. 1037,12090155-75278115,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,1,3822. 1037,12090155-75278116,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,2,3822. 1037,12090155-75278117,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,3,3822. 1037,12090155-75278118,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,4,3822. 1037,12090155-75278119,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,5,3822. 1037,12090155-75278120,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,6,3822. 1037,12090155-75278121,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,7,3822. 1037,12090155-75278122,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,8,3822. 1037,12090155-75278123,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,9,3822. 1037,12090155-75278124,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,10,3822. 1037,12090155-75278125,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,11,3822. 1037,12090155-75278126,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,12,3822. 1037,12090155-75278127,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,13,3822. 1037,12090155-75278128,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,14,3822. 1037,12090155-75278129,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,5,15,3822. 1037,12090155-75278130,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,0,3822. 1037,12090157-75278147,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,1,3822. 1037,12090157-75278148,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,2,3822. 1037,12090157-75278149,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,3,3822. 1037,12090157-75278150,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,4,3822. 1037,12090157-75278151,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,5,3822. 1037,12090157-75278152,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,6,3822. 1037,12090157-75278153,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,7,3822. 1037,12090157-75278154,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,8,3822. 1037,12090157-75278155,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,9,3822. 1037,12090157-75278156,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,10,3822. 1037,12090157-75278157,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,11,3822. 1037,12090157-75278158,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,12,3822. 1037,12090157-75278159,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,13,3822. 1037,12090157-75278160,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,14,3822. 1037,12090157-75278161,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,6,15,3822. 1037,12090157-75278162,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,0,3822. 1037,12090159-75278179,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,1,3822. 1037,12090159-75278180,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,2,3822. 1037,12090159-75278181,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,3,3822. 1037,12090159-75278182,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,4,3822. 1037,12090159-75278183,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,5,3822. 1037,12090159-75278184,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,6,3822. 1037,12090159-75278185,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,7,3822. 1037,12090159-75278186,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,8,3822. 1037,12090159-75278187,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,9,3822. 1037,12090159-75278188,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,10,3822. 1037,12090159-75278189,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,11,3822. 1037,12090159-75278190,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,12,3822. 1037,12090159-75278191,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,13,3822. 1037,12090159-75278192,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,14,3822. 1037,12090159-75278193,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,7,15,3822. 1037,12090159-75278194,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,0,3822. 1037,319278341-1422336673,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,1,3822. 1037,319278341-1422455773,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,2,3822. 1037,319278341-1422336674,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,3,3822. 1037,319278341-1422455774,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,4,3822. 1037,319278341-1422336675,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,5,3822. 1037,319278341-1422455775,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,6,3822. 1037,319278341-1422336676,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,7,3822. 1037,319278341-1422455776,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,8,3822. 1037,319278341-1422336677,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,9,3822. 1037,319278341-1422455777,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,10,3822. 1037,319278341-1422336678,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,11,3822. 1037,319278341-1422455778,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,12,3822. 1037,319278341-1422336679,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,13,3822. 1037,319278341-1422455779,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,14,3822. 1037,319278341-1422336680,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,8,15,3822. 1037,319278341-1422455780,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,0,3822. 1037,12090168-75278329,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,1,3822. 1037,12090168-75278330,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,2,3822. 1037,12090168-75278331,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,3,3822. 1037,12090168-75278332,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,4,3822. 1037,12090168-75278333,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,5,3822. 1037,12090168-75278334,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,6,3822. 1037,12090168-75278335,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,7,3822. 1037,12090168-75278336,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,8,3822. 1037,12090168-75278337,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,9,3822. 1037,12090168-75278338,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,10,3822. 1037,12090168-75278339,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,11,3822. 1037,12090168-75278340,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,12,3822. 1037,12090168-75278341,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,13,3822. 1037,12090168-75278342,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,14,3822. 1037,12090168-75278343,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,11,15,3822. 1037,12090168-75278344,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,0,3822. 1037,12090170-75278349,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,1,3822. 1037,12090170-75278350,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,2,3822. 1037,12090170-75278351,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,3,3822. 1037,12090170-75278352,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,4,3822. 1037,12090170-75278353,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,5,3822. 1037,12090170-75278354,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,6,3822. 1037,12090170-75278355,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,7,3822. 1037,12090170-75278356,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,8,3822. 1037,12090170-75278357,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,9,3822. 1037,12090170-75278358,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,10,3822. 1037,12090170-75278359,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,11,3822. 1037,12090170-75278360,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,12,3822. 1037,12090170-75278361,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,13,3822. 1037,12090170-75278362,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,14,3822. 1037,12090170-75278363,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,12,15,3822. 1037,12090170-75278364,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,0,3822. 1037,12090172-75278369,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,1,3822. 1037,12090172-75278370,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,2,3822. 1037,12090172-75278371,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,3,3822. 1037,12090172-75278372,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,4,3822. 1037,12090172-75278373,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,5,3822. 1037,12090172-75278374,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,6,3822. 1037,12090172-75278375,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,7,3822. 1037,12090172-75278376,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,8,3822. 1037,12090172-75278377,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,9,3822. 1037,12090172-75278378,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,10,3822. 1037,12090172-75278379,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,11,3822. 1037,12090172-75278380,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,12,3822. 1037,12090172-75278381,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,13,3822. 1037,12090172-75278382,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,14,3822. 1037,12090172-75278383,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,13,15,3822. 1037,12090172-75278384,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,0,3822. 1037,12090174-75278401,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,1,3822. 1037,12090174-75278402,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,2,3822. 1037,12090174-75278403,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,3,3822. 1037,12090174-75278404,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,4,3822. 1037,12090174-75278405,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,5,3822. 1037,12090174-75278406,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,6,3822. 1037,12090174-75278407,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,7,3822. 1037,12090174-75278408,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,8,3822. 1037,12090174-75278409,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,9,3822. 1037,12090174-75278410,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,10,3822. 1037,12090174-75278411,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,11,3822. 1037,12090174-75278412,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,12,3822. 1037,12090174-75278413,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,13,3822. 1037,12090174-75278414,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,14,3822. 1037,12090174-75278415,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,14,15,3822. 1037,12090174-75278416,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,0,3822. 1037,12090176-75278433,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,1,3822. 1037,12090176-75278434,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,2,3822. 1037,12090176-75278435,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,3,3822. 1037,12090176-75278436,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,4,3822. 1037,12090176-75278437,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,5,3822. 1037,12090176-75278438,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,6,3822. 1037,12090176-75278439,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,7,3822. 1037,12090176-75278440,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,8,3822. 1037,12090176-75278441,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,9,3822. 1037,12090176-75278442,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,10,3822. 1037,12090176-75278443,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,11,3822. 1037,12090176-75278444,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,12,3822. 1037,12090176-75278445,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,13,3822. 1037,12090176-75278446,GPON04-D2-SKJ-2,HUAWEI
172.24.155.5,15,14,3822. 1037,12090176-75278447,GPON04-D2-SKJ-2,HUAWEI
